0;5896.27;18688.4;50790.2
1;4815.84;16562;42599.9
2;4057.95;14967.1;41001.4
3;4057.95;14139.5;41001.4
4;4057.95;13215.5;35183.4
5;3888.08;12518.3;33603.7
6;3888.08;11937.7;29240.5
7;4060.12;11566.3;24534.8
8;4060.12;11092.3;24534.8
9;4060.12;10802.2;24534.8
10;4060.12;10510.7;25385.3
11;3959.47;10212;22203.7
12;3856.17;9953.6;22318.1
13;3779.65;9720.94;22318.1
14;3743.88;9561.57;19143.2
15;3743.88;9370.72;19682.1
16;3743.88;9270.58;19682.1
17;3428.36;9167.42;19682.1
18;3823.73;8994.1;18633.1
19;3580.61;8894.96;18633.1
20;3576.53;8737.58;18878.8
21;3578.47;8638.76;18878.8
22;2645.96;8565.99;18878.8
23;3345.24;8513.83;17407.4
24;3440.91;8451.43;17174.2
25;3526.53;8327.03;17174.2
26;3614.9;8229.1;16165.3
27;3448.17;8161.91;16393.9
28;3448.17;8106.13;16382
29;3510.18;8057.81;16382
30;3729.57;7940.37;16569.8
31;3914.41;7907.73;16569.8
32;3980.08;7780.11;14559.3
33;4105.21;7660.73;16311.9
34;4105.21;7629.77;16186.5
35;3857.69;7555.48;14582.9
36;3847.88;7501.4;13935.9
37;3630.05;7469.5;13935.9
38;3389.23;7415.19;13618.5
39;3092.68;7358.4;13326.9
40;3206.53;7279.46;13332.7
41;2843.02;7284.19;14278.6
42;3044.46;7220.89;14625.8
43;3076.27;7127.61;14615.8
44;3076.27;7066.17;12450.4
45;3381.21;7059.15;13388.1
46;4012.1;7040;13388.1
47;3386.9;6988.18;14346.5
48;3349.59;6952.39;13117
49;3349.59;6893.2;13117
50;3384.14;6911.15;12571.9
51;3528.76;6887.41;13389.5
52;3528.76;6833.73;13504
53;3198.04;6812.12;13268.3
54;3205.48;6757.47;13116.3
55;3205.48;6717.73;12631.7
56;3205.48;6678.35;12714.1
57;3205.48;6631.52;12148.4
58;3159.9;6586.75;12148.4
59;3192.8;6547.08;12148.4
60;3064.58;6517.92;12242.2
61;2875.51;6509.16;12148.4
62;2875.51;6498;12082.2
63;3331.34;6461.95;12038.1
64;3007.44;6444.6;11970.3
65;2718.66;6386.77;11970.3
66;2820.08;6392.42;11970.3
67;2820.08;6384.48;12051.6
68;2820.08;6351.65;12051.6
